"","True_LR","Pair.Name","Ligand","Ligand.Name","Receptor","Receptor.Name","complex_pair","source","target","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","sources","references","curation_effort","n_references","n_resources","annotation_strategy"
"3096",TRUE,"Sema7a_Itgb1","Sema7a","semaphorin 7A (John Milton Hagen blood group)","Itgb1","integrin subunit beta 1","SEMA7A_ITGA1_ITGB1","O75326","COMPLEX:P05556_P56199",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET;SIGNOR","CellChatDB:22325954;CellPhoneDB:22325954;Cellinker:12879062;Cellinker:22325954;Cellinker:30568033;ICELLNET:17671519;SIGNOR:17377534",7,5,5,"both"
"3097",TRUE,"Col2a1_Itga10","Col2a1","collagen type II alpha 1 chain","Itga10","integrin subunit alpha 10","COL2A1_ITGA10_ITGB1","P02458","COMPLEX:O75578_P05556",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:9685391;ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:25169886;SIGNOR:9685391",7,6,5,"both"
"3098",TRUE,"Col2a1_Itgb1","Col2a1","collagen type II alpha 1 chain","Itgb1","integrin subunit beta 1","COL2A1_ITGA10_ITGB1","P02458","COMPLEX:O75578_P05556",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:9685391;ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:25169886;SIGNOR:9685391",7,6,5,"both"
"3099",TRUE,"Spp1_Itga9","Spp1","secreted phosphoprotein 1","Itga9","integrin subunit alpha 9","SPP1_ITGA9_ITGB1","P10451","COMPLEX:P05556_Q13797",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET;SIGNOR","Baccin2019:16988024;CellChatDB:21907263;CellPhoneDB:1830891;CellPhoneDB:8970045;Cellinker:10593924;Cellinker:19417209;Cellinker:21907263;ICELLNET:8910476;SIGNOR:24241034",9,8,6,"both"
"3100",TRUE,"Spp1_Itgb1","Spp1","secreted phosphoprotein 1","Itgb1","integrin subunit beta 1","SPP1_ITGA9_ITGB1","P10451","COMPLEX:P05556_Q13797",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET;SIGNOR","Baccin2019:16988024;CellChatDB:21907263;CellPhoneDB:1830891;CellPhoneDB:8970045;Cellinker:10593924;Cellinker:19417209;Cellinker:21907263;ICELLNET:8910476;SIGNOR:24241034",9,8,6,"both"
"3101",TRUE,"Spp1_Itgav","Spp1","secreted phosphoprotein 1","Itgav","integrin subunit alpha V","SPP1_ITGAV_ITGB3","P10451","COMPLEX:P05106_P06756",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET;SIGNOR","Baccin2019:16988024;CellChatDB:21907263;CellPhoneDB:24442579;Cellinker:17868879;Cellinker:21907263;ICELLNET:7532190;SIGNOR:10835423",7,6,6,"both"
"3102",TRUE,"Spp1_Itgb3","Spp1","secreted phosphoprotein 1","Itgb3","integrin subunit beta 3","SPP1_ITGAV_ITGB3","P10451","COMPLEX:P05106_P06756",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET;SIGNOR","Baccin2019:16988024;CellChatDB:21907263;CellPhoneDB:24442579;Cellinker:17868879;Cellinker:21907263;ICELLNET:7532190;SIGNOR:10835423",7,6,6,"both"
"3103",TRUE,"Vcam1_Itga4","Vcam1","vascular cell adhesion molecule 1","Itga4","integrin subunit alpha 4","ITGA4_ITGB1_VCAM1","COMPLEX:P05556_P13612","P19320",1,0,0,0,0,0,"Baccin2019;CellChatDB;CellPhoneDB","Baccin2019:16988024",1,1,3,"LR"
"3104",TRUE,"Vcam1_Itgb1","Vcam1","vascular cell adhesion molecule 1","Itgb1","integrin subunit beta 1","ITGA4_ITGB1_VCAM1","COMPLEX:P05556_P13612","P19320",1,0,0,0,0,0,"Baccin2019;CellChatDB;CellPhoneDB","Baccin2019:16988024",1,1,3,"LR"
"3107",TRUE,"Ifnb1_Ifnar1","Ifnb1","interferon beta 1","Ifnar1","interferon alpha and beta receptor subunit 1","IFNB1_IFNAR1_IFNAR2","P01574","COMPLEX:P17181_P48551",1,1,0,1,1,0,"CellChatDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:10395669;Cellinker:11278538;Cellinker:1834641;ICELLNET:15032600;SIGNOR:11278538",5,4,4,"both"
"3108",TRUE,"Ifnb1_Ifnar2","Ifnb1","interferon beta 1","Ifnar2","interferon alpha and beta receptor subunit 2","IFNB1_IFNAR1_IFNAR2","P01574","COMPLEX:P17181_P48551",1,1,0,1,1,0,"CellChatDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:10395669;Cellinker:11278538;Cellinker:1834641;ICELLNET:15032600;SIGNOR:11278538",5,4,4,"both"
"3109",TRUE,"Ifng_Ifngr1","Ifng","interferon gamma","Ifngr1","interferon gamma receptor 1","IFNG_IFNGR1_IFNGR2","P01579","COMPLEX:P15260_P38484",1,1,0,1,1,0,"CellChatDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:10811850;Cellinker:10986460;Cellinker:11250200;Cellinker:12165521;Cellinker:7673114;ICELLNET:15032600;SIGNOR:23898330",7,7,4,"both"
"3110",TRUE,"Ifng_Ifngr2","Ifng","interferon gamma","Ifngr2","interferon gamma receptor 2","IFNG_IFNGR1_IFNGR2","P01579","COMPLEX:P15260_P38484",1,1,0,1,1,0,"CellChatDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:10811850;Cellinker:10986460;Cellinker:11250200;Cellinker:12165521;Cellinker:7673114;ICELLNET:15032600;SIGNOR:23898330",7,7,4,"both"
"3111",TRUE,"Col1a1_Itga1","Col1a1","collagen type I alpha 1 chain","Itga1","integrin subunit alpha 1","COL1A1_ITGA1_ITGB1","P02452","COMPLEX:P05556_P56199",1,1,0,1,1,0,"CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,3,"both"
"3112",TRUE,"Col1a1_Itgb1","Col1a1","collagen type I alpha 1 chain","Itgb1","integrin subunit beta 1","COL1A1_ITGA1_ITGB1","P02452","COMPLEX:P05556_P56199",1,1,0,1,1,0,"CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,3,"both"
"3113",TRUE,"Col1a1_Itga2","Col1a1","collagen type I alpha 1 chain","Itga2","integrin subunit alpha 2","COL1A1_ITGA2_ITGB1","P02452","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:11359786;Cellinker:11856343;Cellinker:2156854;Cellinker:7688313;ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:7688313",9,8,5,"both"
"3114",TRUE,"Col1a1_Itga11","Col1a1","collagen type I alpha 1 chain","Itga11","integrin subunit alpha 11","COL1A1_ITGA11_ITGB1","P02452","COMPLEX:P05556_Q9UKX5",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:10464311;Cellinker:30808244;Cellinker:7688313;ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12496264",8,8,5,"both"
"3115",TRUE,"Col2a1_Itga2","Col2a1","collagen type II alpha 1 chain","Itga2","integrin subunit alpha 2","COL2A1_ITGA2_ITGB1","P02458","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:7688313;ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:7688313",6,5,5,"both"
"3116",TRUE,"Col4a1_Itga2","Col4a1","collagen type IV alpha 1 chain","Itga2","integrin subunit alpha 2","COL4A1_ITGA2_ITGB1","P02462","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3117",TRUE,"Col4a1_Itgb1","Col4a1","collagen type IV alpha 1 chain","Itgb1","integrin subunit beta 1","COL4A1_ITGA2_ITGB1","P02462","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3118",TRUE,"Fn1_Itga5","Fn1","fibronectin 1","Itga5","integrin subunit alpha 5","FN1_ITGA5_ITGB1","P02751","COMPLEX:P05556_P08648",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;SIGNOR","Baccin2019:16988024;Cellinker:10772816;Cellinker:11423542;Cellinker:11801679;Cellinker:1532572;Cellinker:1694173;Cellinker:23154389;Cellinker:9211865;SIGNOR:12123670",9,9,5,"LR"
"3119",TRUE,"Fn1_Itgb1","Fn1","fibronectin 1","Itgb1","integrin subunit beta 1","FN1_ITGA5_ITGB1","P02751","COMPLEX:P05556_P08648",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;SIGNOR","Baccin2019:16988024;Cellinker:10772816;Cellinker:11423542;Cellinker:11801679;Cellinker:1532572;Cellinker:1694173;Cellinker:23154389;Cellinker:9211865;SIGNOR:12123670",9,9,5,"LR"
"3120",TRUE,"Fn1_Itga8","Fn1","fibronectin 1","Itga8","integrin subunit alpha 8","FN1_ITGA8_ITGB1","P02751","COMPLEX:P05556_P53708",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;Cellinker;HPMR_Cellinker;SIGNOR","Baccin2019:16988024;Cellinker:7559467;Cellinker:7626807;SIGNOR:15721307;SIGNOR:7559467",5,4,5,"LR"
"3121",TRUE,"Fn1_Itgav","Fn1","fibronectin 1","Itgav","integrin subunit alpha V","FN1_ITGAV_ITGB6","P02751","COMPLEX:P06756_P18564",1,1,0,1,1,0,"Baccin2019;CellChatDB;Cellinker;HPMR_Cellinker;SIGNOR","Baccin2019:16988024;Cellinker:1532572;SIGNOR:1532572",3,2,4,"LR"
"3122",TRUE,"Fn1_Itgb6","Fn1","fibronectin 1","Itgb6","integrin subunit beta 6","FN1_ITGAV_ITGB6","P02751","COMPLEX:P06756_P18564",1,1,0,1,1,0,"Baccin2019;CellChatDB;Cellinker;HPMR_Cellinker;SIGNOR","Baccin2019:16988024;Cellinker:1532572;SIGNOR:1532572",3,2,4,"LR"
"3123",TRUE,"Csf2_Csf2ra","Csf2","colony stimulating factor 2","Csf2ra","colony stimulating factor 2 receptor subunit alpha","CSF2_CSF2RA_CSF2RB","P04141","COMPLEX:P15509_P32927",1,1,0,1,1,0,"CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:10572088;Cellinker:1702217;Cellinker:2645577;Cellinker:2828352;Cellinker:8278375;Cellinker:8910448;Cellinker:9211889;ICELLNET:18692472;SIGNOR:9680354",9,9,4,"both"
"3124",TRUE,"Csf2_Csf2rb","Csf2","colony stimulating factor 2","Csf2rb","colony stimulating factor 2 receptor subunit beta","CSF2_CSF2RA_CSF2RB","P04141","COMPLEX:P15509_P32927",1,1,0,1,1,0,"CellChatDB;Cellinker;DLRP_Cellinker;Guide2Pharma_Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","Cellinker:10572088;Cellinker:1702217;Cellinker:2645577;Cellinker:2828352;Cellinker:8278375;Cellinker:8910448;Cellinker:9211889;ICELLNET:18692472;SIGNOR:9680354",9,9,4,"both"
"3125",TRUE,"Vwf_Itga2b","Vwf","von Willebrand factor","Itga2b","integrin subunit alpha 2b","VWF_ITGA2B_ITGB3","P04275","COMPLEX:P05106_P08514",1,1,0,1,1,0,"Baccin2019;CellChatDB;Cellinker;SIGNOR","Baccin2019:16988024;Cellinker:1737795;SIGNOR:25297919",3,3,4,"both"
"3126",TRUE,"Vwf_Itgb3","Vwf","von Willebrand factor","Itgb3","integrin subunit beta 3","VWF_ITGA2B_ITGB3","P04275","COMPLEX:P05106_P08514",1,1,0,1,1,0,"Baccin2019;CellChatDB;Cellinker;SIGNOR","Baccin2019:16988024;Cellinker:1737795;SIGNOR:25297919",3,3,4,"both"
"3127",TRUE,"Vwf_Gp1ba","Vwf","von Willebrand factor","Gp1ba","glycoprotein Ib platelet subunit alpha","VWF_GP1BA_GP1BB_GP5_GP9","P04275","COMPLEX:P07359_P13224_P14770_P40197",1,1,0,1,1,0,"CellChatDB;SIGNOR","SIGNOR:25297919",1,1,2,"LR"
"3128",TRUE,"Vwf_Gp1bb","Vwf","von Willebrand factor","Gp1bb","glycoprotein Ib platelet subunit beta","VWF_GP1BA_GP1BB_GP5_GP9","P04275","COMPLEX:P07359_P13224_P14770_P40197",1,1,0,1,1,0,"CellChatDB;SIGNOR","SIGNOR:25297919",1,1,2,"LR"
"3129",TRUE,"Vwf_Gp5","Vwf","von Willebrand factor","Gp5","glycoprotein V platelet","VWF_GP1BA_GP1BB_GP5_GP9","P04275","COMPLEX:P07359_P13224_P14770_P40197",1,1,0,1,1,0,"CellChatDB;SIGNOR","SIGNOR:25297919",1,1,2,"LR"
"3130",TRUE,"Vwf_Gp9","Vwf","von Willebrand factor","Gp9","glycoprotein IX platelet","VWF_GP1BA_GP1BB_GP5_GP9","P04275","COMPLEX:P07359_P13224_P14770_P40197",1,1,0,1,1,0,"CellChatDB;SIGNOR","SIGNOR:25297919",1,1,2,"LR"
"3131",TRUE,"Col1a2_Itga1","Col1a2","collagen type I alpha 2 chain","Itga1","integrin subunit alpha 1","COL1A2_ITGA1_ITGB1","P08123","COMPLEX:P05556_P56199",1,1,0,1,1,0,"CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,3,"both"
"3132",TRUE,"Col1a2_Itgb1","Col1a2","collagen type I alpha 2 chain","Itgb1","integrin subunit beta 1","COL1A2_ITGA1_ITGB1","P08123","COMPLEX:P05556_P56199",1,1,0,1,1,0,"CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,3,"both"
"3133",TRUE,"Col1a2_Itga11","Col1a2","collagen type I alpha 2 chain","Itga11","integrin subunit alpha 11","COL1A2_ITGA11_ITGB1","P08123","COMPLEX:P05556_Q9UKX5",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;Cellinker;ICELLNET;SIGNOR","Cellinker:30808244;ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12496264",6,6,5,"both"
"3134",TRUE,"Col4a2_Itga2","Col4a2","collagen type IV alpha 2 chain","Itga2","integrin subunit alpha 2","COL4A2_ITGA2_ITGB1","P08572","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3135",TRUE,"Col4a2_Itgb1","Col4a2","collagen type IV alpha 2 chain","Itgb1","integrin subunit beta 1","COL4A2_ITGA2_ITGB1","P08572","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3136",TRUE,"Bmp7_Acvr1","Bmp7","bone morphogenetic protein 7","Acvr1","activin A receptor type 1","BMP7_ACVR1_BMPR2","P18075","COMPLEX:Q04771_Q13873",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","CellChatDB:26893264;CellPhoneDB:22710174;Cellinker:12297674;Cellinker:26893264;Cellinker:27252362;Cellinker:8006002;ICELLNET:27481709;SIGNOR:11282024",8,7,5,"both"
"3137",TRUE,"Bmp7_Bmpr2","Bmp7","bone morphogenetic protein 7","Bmpr2","bone morphogenetic protein receptor type 2","BMP7_ACVR1_BMPR2","P18075","COMPLEX:Q04771_Q13873",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;SIGNOR","CellChatDB:26893264;CellPhoneDB:22710174;Cellinker:12297674;Cellinker:26893264;Cellinker:27252362;Cellinker:8006002;ICELLNET:27481709;SIGNOR:11282024",8,7,5,"both"
"3138",TRUE,"Tnc_Itga8","Tnc","tenascin C","Itga8","integrin subunit alpha 8","TNC_ITGA8_ITGB1","P24821","COMPLEX:P05556_P53708",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;SIGNOR","Baccin2019:16988024;SIGNOR:7559467",2,2,4,"LR"
"3139",TRUE,"Tnc_Itgb1","Tnc","tenascin C","Itgb1","integrin subunit beta 1","TNC_ITGA8_ITGB1","P24821","COMPLEX:P05556_P53708",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;SIGNOR","Baccin2019:16988024;SIGNOR:7559467",2,2,4,"LR"
"3140",TRUE,"Tnc_Itga9","Tnc","tenascin C","Itga9","integrin subunit alpha 9","TNC_ITGA9_ITGB1","P24821","COMPLEX:P05556_Q13797",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;Cellinker;SIGNOR","Baccin2019:16988024;Cellinker:14715956;SIGNOR:24241034",3,3,5,"LR"
"3141",TRUE,"Col4a4_Itga2","Col4a4","collagen type IV alpha 4 chain","Itga2","integrin subunit alpha 2","COL4A4_ITGA2_ITGB1","P53420","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3142",TRUE,"Col4a4_Itgb1","Col4a4","collagen type IV alpha 4 chain","Itgb1","integrin subunit beta 1","COL4A4_ITGA2_ITGB1","P53420","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3143",TRUE,"Col4a3_Itga2","Col4a3","collagen type IV alpha 3 chain","Itga2","integrin subunit alpha 2","COL4A3_ITGA2_ITGB1","Q01955","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3144",TRUE,"Col4a3_Itgb1","Col4a3","collagen type IV alpha 3 chain","Itgb1","integrin subunit beta 1","COL4A3_ITGA2_ITGB1","Q01955","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3145",TRUE,"Mfge8_Itgav","Mfge8","milk fat globule EGF and factor V/VIII domain containing","Itgav","integrin subunit alpha V","MFGE8_ITGAV_ITGB3","Q08431","COMPLEX:P05106_P06756",1,1,0,1,1,0,"Baccin2019;SIGNOR","Baccin2019:16988024;SIGNOR:31958465",2,2,2,"LR"
"3146",TRUE,"Mfge8_Itgb3","Mfge8","milk fat globule EGF and factor V/VIII domain containing","Itgb3","integrin subunit beta 3","MFGE8_ITGAV_ITGB3","Q08431","COMPLEX:P05106_P06756",1,1,0,1,1,0,"Baccin2019;SIGNOR","Baccin2019:16988024;SIGNOR:31958465",2,2,2,"LR"
"3147",TRUE,"Mfge8_Itgb5","Mfge8","milk fat globule EGF and factor V/VIII domain containing","Itgb5","integrin subunit beta 5","MFGE8_ITGAV_ITGB5","Q08431","COMPLEX:P06756_P18084",1,1,0,1,1,0,"Baccin2019;SIGNOR","Baccin2019:16988024;SIGNOR:31958465",2,2,2,"LR"
"3148",TRUE,"Col4a6_Itga2","Col4a6","collagen type IV alpha 6 chain","Itga2","integrin subunit alpha 2","COL4A6_ITGA2_ITGB1","Q14031","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3149",TRUE,"Col4a6_Itgb1","Col4a6","collagen type IV alpha 6 chain","Itgb1","integrin subunit beta 1","COL4A6_ITGA2_ITGB1","Q14031","COMPLEX:P05556_P17301",1,1,0,1,1,0,"CellChatDB;CellPhoneDB;ICELLNET;SIGNOR","ICELLNET:15147720;ICELLNET:16988024;ICELLNET:21421911;ICELLNET:26857815;SIGNOR:12123670",5,5,4,"both"
"3150",TRUE,"Amh_Amhr2","Amh","anti-Mullerian hormone","Amhr2","anti-Mullerian hormone receptor type 2","AMH_AMHR2_BMPR1A","P03971","COMPLEX:P36894_Q16671",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET","CellPhoneDB:22710174;Cellinker:12368913;Cellinker:14656478;Cellinker:26003656;Cellinker:7997230;Cellinker:8889695;ICELLNET:32333774",7,7,4,"both"
"3151",TRUE,"Amh_Bmpr1a","Amh","anti-Mullerian hormone","Bmpr1a","bone morphogenetic protein receptor type 1A","AMH_AMHR2_BMPR1A","P03971","COMPLEX:P36894_Q16671",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET","CellPhoneDB:22710174;Cellinker:12368913;Cellinker:14656478;Cellinker:26003656;Cellinker:7997230;Cellinker:8889695;ICELLNET:32333774",7,7,4,"both"
"3152",TRUE,"Amh_Acvr1","Amh","anti-Mullerian hormone","Acvr1","activin A receptor type 1","AMH_ACVR1_AMHR2","P03971","COMPLEX:Q04771_Q16671",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET","CellPhoneDB:22710174;Cellinker:31683698;ICELLNET:32333774",3,3,4,"both"
"3153",TRUE,"Bmp10_Acvr2a","Bmp10","bone morphogenetic protein 10","Acvr2a","activin A receptor type 2A","BMP10_ACVR2A_ACVRL1","O95393","COMPLEX:P27037_P37023",1,0,0,0,0,0,"CellChatDB;Cellinker;HPMR_Cellinker;ICELLNET","CellChatDB:25620979;CellChatDB:26893264;Cellinker:16049014;Cellinker:17068149;Cellinker:26893264;Cellinker:27252362;Cellinker:30246252;ICELLNET:17878607",8,7,3,"both"
"3154",TRUE,"Bmp10_Acvrl1","Bmp10","bone morphogenetic protein 10","Acvrl1","activin A receptor like type 1","BMP10_ACVR2A_ACVRL1","O95393","COMPLEX:P27037_P37023",1,0,0,0,0,0,"CellChatDB;Cellinker;HPMR_Cellinker;ICELLNET","CellChatDB:25620979;CellChatDB:26893264;Cellinker:16049014;Cellinker:17068149;Cellinker:26893264;Cellinker:27252362;Cellinker:30246252;ICELLNET:17878607",8,7,3,"both"
"3155",TRUE,"Bmp10_Acvr2b","Bmp10","bone morphogenetic protein 10","Acvr2b","activin A receptor type 2B","BMP10_ACVR2B_ACVRL1","O95393","COMPLEX:P37023_Q13705",1,0,0,0,0,0,"ICELLNET","ICELLNET:17878607",1,1,1,"both"
"3156",TRUE,"Bmp10_Bmpr2","Bmp10","bone morphogenetic protein 10","Bmpr2","bone morphogenetic protein receptor type 2","BMP10_ACVRL1_BMPR2","O95393","COMPLEX:P37023_Q13873",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET","CellChatDB:25620979;CellChatDB:26893264;CellPhoneDB:22710174;Cellinker:16049014;Cellinker:26893264;Cellinker:27252362;ICELLNET:17878607",7,6,4,"both"
"3157",TRUE,"Bmp15_Bmpr1b","Bmp15","bone morphogenetic protein 15","Bmpr1b","bone morphogenetic protein receptor type 1B","BMP15_BMPR1B_BMPR2","O95972","COMPLEX:O00238_Q13873",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET","CellChatDB:26893264;CellPhoneDB:22710174;Cellinker:12419820;Cellinker:26003656;Cellinker:26893264;Cellinker:27252362;ICELLNET:17878607",7,6,4,"both"
"3158",TRUE,"Bmp15_Bmpr2","Bmp15","bone morphogenetic protein 15","Bmpr2","bone morphogenetic protein receptor type 2","BMP15_BMPR1B_BMPR2","O95972","COMPLEX:O00238_Q13873",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET","CellChatDB:26893264;CellPhoneDB:22710174;Cellinker:12419820;Cellinker:26003656;Cellinker:26893264;Cellinker:27252362;ICELLNET:17878607",7,6,4,"both"
"3159",TRUE,"Bmp2_Acvr2a","Bmp2","bone morphogenetic protein 2","Acvr2a","activin A receptor type 2A","BMP2_ACVR2A_BMPR1A","P12643","COMPLEX:P27037_P36894",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;ICELLNET","CellChatDB:26893264;CellPhoneDB:22710174;ICELLNET:18436533",3,3,3,"both"
"3160",TRUE,"Bmp2_Bmpr1a","Bmp2","bone morphogenetic protein 2","Bmpr1a","bone morphogenetic protein receptor type 1A","BMP2_ACVR2A_BMPR1A","P12643","COMPLEX:P27037_P36894",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;ICELLNET","CellChatDB:26893264;CellPhoneDB:22710174;ICELLNET:18436533",3,3,3,"both"
"3161",TRUE,"Bmp2_Acvr2b","Bmp2","bone morphogenetic protein 2","Acvr2b","activin A receptor type 2B","BMP2_ACVR2B_BMPR1A","P12643","COMPLEX:P36894_Q13705",1,0,0,0,0,0,"CellChatDB;CellPhoneDB;ICELLNET","CellChatDB:26893264;CellPhoneDB:22710174;ICELLNET:18436533",3,3,3,"both"
